nncp compress: input bytes=51797434 model dim=256 depth=4 heads=8
num_params_M: 3.483136
nncp compress: bytes=51797434 ctx=1024 slide=768 train_every=256 train_batch=8 train_seq=256
/home/andrew/Developer/a-compressed-world/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:869: UserWarning: Memory Efficient attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/attention_backward.cu:900.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
step 1024 bytes 1024 bits 7599 bpb 7.4209 window_bpb 7.4209 elapsed 1.6s
step 2048 bytes 2048 bits 14816 bpb 7.2344 window_bpb 7.0479 elapsed 3.0s
step 3072 bytes 3072 bits 21985 bpb 7.1566 window_bpb 7.0010 elapsed 4.4s
step 4096 bytes 4096 bits 28865 bpb 7.0471 window_bpb 6.7188 elapsed 5.8s
step 5120 bytes 5120 bits 35333 bpb 6.9010 window_bpb 6.3164 elapsed 7.2s
step 6144 bytes 6144 bits 42286 bpb 6.8825 window_bpb 6.7900 elapsed 8.6s
step 7168 bytes 7168 bits 48674 bpb 6.7905 window_bpb 6.2383 elapsed 10.0s
step 8192 bytes 8192 bits 54770 bpb 6.6858 window_bpb 5.9531 elapsed 11.4s
step 9216 bytes 9216 bits 60869 bpb 6.6047 window_bpb 5.9561 elapsed 12.8s
step 10240 bytes 10240 bits 66902 bpb 6.5334 window_bpb 5.8916 elapsed 14.2s
step 11264 bytes 11264 bits 73084 bpb 6.4883 window_bpb 6.0371 elapsed 15.6s
step 12288 bytes 12288 bits 78995 bpb 6.4286 window_bpb 5.7725 elapsed 17.0s
step 13312 bytes 13312 bits 84841 bpb 6.3733 window_bpb 5.7090 elapsed 18.4s
step 14336 bytes 14336 bits 90867 bpb 6.3384 window_bpb 5.8848 elapsed 19.8s
step 15360 bytes 15360 bits 97168 bpb 6.3260 window_bpb 6.1533 elapsed 21.2s
step 16384 bytes 16384 bits 103342 bpb 6.3075 window_bpb 6.0293 elapsed 22.6s
step 17408 bytes 17408 bits 109300 bpb 6.2787 window_bpb 5.8184 elapsed 24.0s
step 18432 bytes 18432 bits 115379 bpb 6.2597 window_bpb 5.9365 elapsed 25.4s
step 19456 bytes 19456 bits 121225 bpb 6.2307 window_bpb 5.7090 elapsed 26.8s
step 20480 bytes 20480 bits 126967 bpb 6.1996 window_bpb 5.6074 elapsed 28.1s
step 21504 bytes 21504 bits 132673 bpb 6.1697 window_bpb 5.5723 elapsed 29.5s
step 22528 bytes 22528 bits 138317 bpb 6.1398 window_bpb 5.5117 elapsed 30.9s
step 23552 bytes 23552 bits 143891 bpb 6.1095 window_bpb 5.4434 elapsed 32.3s
step 24576 bytes 24576 bits 149634 bpb 6.0886 window_bpb 5.6084 elapsed 33.7s
step 25600 bytes 25600 bits 155365 bpb 6.0689 window_bpb 5.5967 elapsed 35.1s
step 26624 bytes 26624 bits 161158 bpb 6.0531 window_bpb 5.6572 elapsed 36.5s
step 27648 bytes 27648 bits 166947 bpb 6.0383 window_bpb 5.6533 elapsed 37.9s
step 28672 bytes 28672 bits 172840 bpb 6.0282 window_bpb 5.7549 elapsed 39.3s
